Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Average_Order_Value,Purchase_Frequency_per_Year,CLV,CLV_Segment
10069.0,29,8,2127.9959028,4,5,5,14,High-Value,265.99948785,14.038461538461538,11202.670738298077,High
10196.0,72,7,2085.2611012,3,5,5,13,High-Value,297.89444302857146,9.324817518248176,8333.433962824818,High
10204.0,16,9,2687.56698177,5,5,5,15,High-Value,298.61855353,9.46685878962536,8480.939034692075,High
10242.0,64,7,2024.14498986,3,5,5,13,High-Value,289.16356998000003,10.51440329218107,9121.147176529632,High
10258.0,29,6,1554.2732925,4,5,5,14,High-Value,259.04554875,11.288659793814432,8772.831212822166,High
10281.0,79,8,2347.49369991,3,5,5,13,High-Value,293.43671248875,12.166666666666668,10710.440005839377,High
10350.0,95,6,2256.2973027,3,5,5,13,High-Value,376.04955045,10.428571428571429,11764.97879265,High
10367.0,51,7,1902.23967503,4,5,5,14,High-Value,271.7485250042857,11.206140350877194,9135.756334025657,High
10371.0,2,5,1570.69998,5,4,5,14,High-Value,314.139996,8.816425120772946,8308.775256521738,High
10379.0,47,5,1827.60972445,4,4,5,13,High-Value,365.52194489,12.248322147651008,13431.091599145971,High
10385.0,37,6,1501.17234672,4,5,5,14,High-Value,250.19539112000004,11.116751269035532,8344.079795220305,High
10472.0,47,5,1337.87592761,4,4,5,13,High-Value,267.57518552199997,12.166666666666668,9766.494271553,High
10477.0,44,5,1294.82454144,4,4,5,13,High-Value,258.96490828799995,11.477987421383649,8917.1878797283,High
10502.0,9,4,2082.0247336,5,3,5,13,High-Value,520.5061834,6.488888888888889,10132.520370186669,High
10522.0,13,7,2381.38774977,5,5,5,15,High-Value,340.1982499671428,8.602693602693602,8779.863925919693,High
10549.0,76,6,2121.52238792,3,5,5,13,High-Value,353.58706465333336,10.528846153846152,11168.591417175,High
10615.0,27,6,2871.7763181,4,5,5,14,High-Value,478.62938635,9.90950226244344,14228.93696072172,High
10731.0,19,8,2463.9921474,5,5,5,15,High-Value,307.999018425,11.633466135458168,10749.28845180478,High
10777.0,46,5,1928.5795417,4,4,5,13,High-Value,385.71590834,8.902439024390244,10301.43706420244,High
10797.0,11,6,1737.10288303,5,5,5,15,High-Value,289.51714717166664,14.6,12680.851046118998,High
